CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_001389;VIA ERMINIO MACARIO;VIA DEI FIORI;84;19/02/2004;G.C.;COMINCIA LA CARRIERA GIOVANISSIMO, INIZIALMENTE APPRENDENDO L'ARTE DEL MIMO, COSTITUISCE LA SUA PRIMA COMPAGNIA NEL 1930 E LÌ ACCOGLIE LA OSIRIS CON LA QUALE COSTITUISCE UN DUO DI SUCCESSO.GRAZIE ALLA OSIRIS E ALLE SUE DOTI SCENICHE E MIMICHE DIVIENE IL PROTAGONISTA PIÙ FAMOSO DELLA RIVISTA ITALIANA.DURANTE LA SECONDA GUERRA INIZIA A RECITARE ANCHE PER IL CINEMA, CON UN DISCRETO SUCCESSO, POI SFOCIATO IN VASTA POPOLARITÀ A SEGUITO DELLE SUE PARTECIPAZIONI AD ALCUNI FILM DI TOTÒ. ANCHE IN TELEVISIONE RISCUOTE SUCCESSO, PRODUCENDO UN'ECCELLENTE INTERPRETAZIONE DE LE MISERIE DI MONSSÙ TRAVET. COME MOLIÈRE MUORE PRATICAMENTE IN SCENA DURANTE LA RAPPRESENTAZIOJNE DELLA RIVISTA OPLÀ, GIOCHIAMO INSIEME.  (NATO A TORINO NEL 1902 - MORTO NEL 1980);
092009_001390;VIA ANNA MAGNANI;VIA DELLE ROSE - VIA DEI FIORI;84;19/02/2004;G.C.;DONNA SIMBOLO DEL CINEMA ITALIANO DEL DOPOGUERRA, NANNARELLA INIZIA LA CARRIERA NEL TEATRO APPRODANDO ALLA RIVISTA NEL '34. DAL '40 AL '44 RECITA AFFIANCO A TOTÒ.L'OCCASIONE NEL CINEMA ARRIVA CON ROMA CITTÀ APERTA DI ROSSELLINI E RISALGONO A QUEGLI ANNI FILM QUALI IL BANDITO (1946), L'ONOREVOLE ANGELINA (1947) E ASSUNTA SPINA (1949), CON LUCHINO VISCONTI RICORDIAMO IL CELEBRE BELLISSIMA DEL 1951. IL TALENTO INEGUAGLIABILE DELL'ATTRICE LA SPINGE OLTRE OCEANO DOVE RECITERÀ NE LA ROSA TATUATA (1955) SCRITTO APPOSTA PER LEI DA TENNESSEE WILLIAMS, CON BURT LANCASTER, CHE LE VALE L' OSCAR; RICORDIAMO ANCHE PELLE DI SERPENTE (1959) CON MARLON BRANDO. AL RIENTRO IN ITALIA RECITA MAMMA ROMA SOTTO LA REGIA DI PASOLINI. PER LA TELEVISIONE, NEI CUI CONFRONTI L'ATTRICE È SEMPRE STATA DIFFIDENTE, GIRA QUATTRO FILM. (NATA A ROMA NEL 1908 - MORTA NEL 1973);
092009_001391;VIA RENATO RASCEL;VIA DEI FIORI;84;19/02/2004;G.C.;IL SUO PUBBLICO LO RICORDA ANCORA COME ER PICCOLETTO, IL CORAZZIERE. QUELLO DEL TEATRO, COME PURE QUELLO DELLA RIVISTA, DEL CINEMA, DELLA RADIO E DELLA TELEVISIONE. UN ATTORE COMPLETO E VERSATILE, ANTICIPATORE DELLA COMICITÀ SURREALE, CAPACE DI PIACERE A TUTTI SENZA MAI CADERE NELLA VOLGARITÀ O NEL FACILE QUALUNQUISMO. SUONA LA BATTERIA, BALLA IL TIP-TAP, SUL PALCOSCENICO È CANTANTE MA ANCHE BRILLANTE MACCHIETTISTA E BALLERINO. NEL '34 SFONDA INTERPRETANDO SIGISMONDO NE IL CAVALLINO BIANCO. IL SUCCESSO DIVENTA CLAMOROSO CON ATTANASIO CAVALLO VANESIO E ALVARO PIUTTOSTO CORSARO. NEL CINEMA GLI ESORDI NON SONO ESALTANTI, FANNO ECCEZIONE IL CAPPOTTO DI LATTUADA E LA SUA INTERPRETAZIONE DEL CIECO DI BARTIMEO NEL GESÙ DI NAZARETH DI ZEFFIRELLI. INTENSA ANCHE LA SUA ATTIVITÀ DI COMPOSITORE DI INDIMENTICABILI CANZONI COME ARRIVEDERCI ROMA E ROMANTICA  CON LA QUALE VINSE, IN COPPIA CON TONY DALLARA, IL FESTIVAL DI SANREMO  (NATO A TORINO NEL 1912 - MORTO A ROMA NEL 1991);
092009_001392;VIA ROBERTO ROSSELLINI;VIA DELLE ROSE - VIA DEI FIORI;84;19/02/2004;G.C.;E' CONSIDERATO IL CAPOSTIPITE DEL CINEMA NEOREALISTA, NATO COL FILM ROMA CITTÀ APERTA (1944/45 - PREMIATO AL FESTIVAL DI CANNES) ACCOLTO FREDDAMENTE DA PUBBLICO E CRITICA MA CHE BEN PRESTO ASSUME IL RUOLO DI UNA VIA NUOVA DELL'ARTE CINEMATOGRAFICA. APPARTENGONO ALLO STESSO FILONE FILM COME PAISÀ (1947) E GERMANIA ANNO ZERO (1948). DIRIGE PIÙ DI 50 FILM FRA I QUALI RICORDIAMO: IL GENERALE DELLA ROVERE DEL 1959 (LEONE D'ORO A VENEZIA E NASTRO D'ARGENTO PER LA MIGLIOR REGIA); ATTI DEGLI APOSTOLI DEL 1968; BLAISE PASCAL DEL 1971 E ANNO UNO DEL 1974. (NATO A ROMA NEL 1906 - MORTO NEL 1977);
092009_001393;VIA ALBERTO SORDI;VIA SEGNI - VIA DELLE ROSE;84;19/02/2004;G.C.;SI CIMENTA NELLO SPETTACOLO GIÀ NEL '36 FINO A DIVENTARE IL DOPPIATORE UFFICIALE DI OLLIO (OLIVER HARDY). GLI ESORDI ALLA RADIO LO PORTERANNO A INTERPRETARE PERSONAGGI DI UN CERTO SUCCESSO , NEL CINEMA LA SVOLTA ARRIVA CON FELLINI E I FILM LO SCEICCO BIANCO E  I VITELLONI E ANCORA, SEMPRE NEL '53, UN GIORNO IN PRETURA DI STENO. LA SUA CARRIERA SI CARATTERIZZERÀ PROPRIO PER  IL SUO OCCHIO ATTENTO VERSO GLI EROI PICCOLO-BORGHESI ED I LORO EMBLEMI NEGATIVI INTERPRETATI IN CHIAVE SATIRICA E CARICATURALE INIMITABILE. ARRIVANO GRANDISSIME INTERPRETAZIONI IN FILM COME LA GRANDE GUERRA (1959), TUTTI A CASA (1960), IL VIGILE (1960), DETENUTO IN ATTESA DI GIUDIZIO (1971). ESORDISCE NELLA REGIA CON FUMO DI LONDRA DEL '71. PER IL TEMA AFFRONTATO E PER IL PERIODO NEL QUALE VIENE REALIZZATO, IN UNA ITALIA REDUCE DEL TERRORISMO, È DI STRAORDINARIA INTENSITÀ E VERSATILITÀ L'INTERPRETAZIONE DI S. IN UN BORGHESE PICCOLO PICCOLO (1978) .L'ATTORE, CON  PIÙ DI 100 FILM INTERPRETATI, È CONSIDERATO IL CAPOSTIPITE DEI C.D. MOSTRI DELLA COMMEDIA ITALIANA INSIEME A TOGNAZZI, GASSMAN E MANFREDI. (NATO A ROMA NEL 1920 - MORTO NEL 2003);
092009_001394;VIA UGO TOGNAZZI;VIA DELLE FELCI;84;19/02/2004;G.C.;DEBUTTA NEL '45 NELLA RIVISTA MA LA FAMA ARRIVA INSIEME A  RAIMONDO VIANELLO CON IL PROGRAMMA TELEVISIVO UN, DUE TRE, IN INDA DAL '55 AL 59. ANCHE NEL CINEMA LA SUÀ SPECIALITÀ SONO LE COMMEDIE; IL SALTO DI QUALITÀ ARRIVA PERÒ AGLI INIZI DEGLI ANNI '60 CON DUE FILM IMPORTANTI DIRETTI DA LUCIANO SALCE. DOPO L'OTTIMO LA MARCIA SU ROMA DI DINO RISI (1962) AVVIENE L'INCONTRO CON FERRERI E T. È CAPACE DI TRASFORMARSI ORA COME PROTAGONISTA DELLA COMMEDIA ALL'ITALIANA (LE ORE DELL'AMORE, I MOSTRI, ECC), ORA COME ATTORE DI FILM PIÙ SERI, CON AMBIZIONI DI CRITICA SOCIALE (IO LA CONOSCEVO BENE E IL COMMISSARIO PEPE DI ETTORE SCOLA).LA GRANDE ABILITÀ DI T. È QUELLA CHE ACCOMUNA ATTORI COME SORDI, GASSMAN, MASTROIANNI E MANFREDI : CALARSI IN RUOLI COMICI COME IN QUELLI DRAMMATICI. LO CONFERMA ANCHE DOPO IN NUMEROSI ALTRI FILM COME AMICI MIEI DEL '75, IL VIZIETTO (1958), SPLENDORI E MISERIE (1970), LA CALIFFA E LA TRAGEDIA DI UN UOMO RIDICOLO DI BERTOLUCCI CHE GLI VARRÀ LA PALMA D'ORO A CANNES (NATO A CREMONA NEL 1922 - MORTO A ROMA NEL 1990);
092009_001395;VIA PIETRO AMBU;VIA TAMBURINO SARDO - VIA NELSON;84;19/02/2004;G.C.;MEDAGLIA D'ARGENTO AL MERITO CIVILE, PER ESSERSI CALATO IL GIORNO 13 GIUGNO 1905, RISCHIANDO LA PROPRIA INCOLUMITÀ, IN UNA CISTERNA, SITUATA PRESSO LA DISTILLERIA ROCCA - ANCIS, INVASA DAI GAS PER TENTARE DI SALVARE, INVANO, TRE VITE   (LUOGO DI NASCITA E MORTE SCONOSCIUTO);
092009_001396;VIA HORATIO NELSON;VIA TAMBURINO SARDO;84;19/02/2004;G.C.;AMMIRAGLIO INGLESE SI MISE IN EVIDENZA PER LA PRESA DI BASTIA E DI CALVI IN CORSICA. IL 1 AGOSTO 1798 DISTRUSSE LA FLOTTA FRANCESE AD ABUKIRK. ACQUISTÒ GRANDE ASCENDENTE ALLA CORTE BORBONICA DI NAPOLI, PATROCINÒ LA SPIETATA RAPPRESAGLIA CONTRO GLI ESPONENENTI DELLA REPUBBLICA PARTENOPEA (1799). DOPO ESSERSI IMPADRONITO DI COPENAGHEN (1801), FU NOMINATO COMANDANTE DELLA FLOTTA INGLESE DEL MEDITERRANEO E NELL'OTTOBRE DEL 1805 SCONFISSE LA FLOTTA FRANCESE A LARGO DEL CAPO TRAFALGAR, SULLA COSTA ATLANTICA DELLA SPAGNA, DOVE PERÒ RIMASE FERITO A MORTE. (NATO A BURNHAM THORPE, WORFOLK NEL 1758 - MORTO A TRAFALGAR NEL 1805);
092009_001397;VIA UMBERTO NOBILE;VIA DELLA MENTA -VIA RISO;84;19/02/2004;G.C.;DIRETTORE DELLO STABILIMENTO MILITARE DI COSTRUZIONI AERONAUTICHE DI ROMA SEGUÌ CON ATTENZIONE TUTTI I TENTATIVI DI ESPLORAZIONE DELL'ARTICO E, INCONTRATO L'ESPLORATORE NORVEGESE AMUDSEN, LO CONVINSE AD ORGANIZZARE UNA TRASVOLATA DEL POLO NORD SULL'AERONAVE NORGE NEL 1926. DECISO A TENTARE UN'ALTRA IMPRESA CON UN DETTAGLIATO PROGRAMMA DI ESPLORAZIONE GEOGRAFICA E DI ESPERIMENTI SCIENTIFICI, NOBILE PARTÌ CON 18 UOMINI PER LA SFORTUNATA SPEDIZIONE  A BORDO DEL  IL DIRIGIBILE ITALIA CHE SI SCHIANTÒ SUL GHIACCIO IL 25 MAGGIO 1929 (TRAGEDIA CONOSCIUTA COME LA TENDA ROSSA) CAUSANDO LA MORTE DI 17 PERSONE. UNA COMMISSIONE D'INCHIESTA DETERMINÒ LE SUE DEMISSIONI. DOPO LA II GUERRA, IL GIUDIZIO DELLA COMMISSIONE FU SOVVERTITO E N. VENNE RIABILITATO. ABBANDONATA LA CATTEDRA DI INGEGNERIA AREONAUTICA, DIVENNE DEPUTATO DELLA COSTITUENTE (NATO AD AVELLINO NEL 1885 - MORTO A ROMA NEL 1978);
092009_001398;VIA PIETRO PINNA;VIA DEL BOSSO;84;19/02/2004;G.C.;IL GENERALE P. RICOPRÌ L'INCARICO DI SOTTOCAPO DI STATO MAGGIORE DAL 1933 AL 1939, FU POI COMANDANTE DELL'AERONAUTICA IN A.O.I.  DOVE FU CATTURATO DAGLI INGLESI ALLA RESA DI TUTTE LE FORZE ITALIANE. L'ASSETTO DELLA REGIA AERONAUTICA IN EGEO, LA SUA COSTITUZIONE COME COMANDO INDIPENDENTE DALLA MADREPATRIA, LA LOCALIZZAZIONE E IL PIANO DI AMMODERNAMENTO DEGLI AEROPORTI NEL DODECANNESO SI DEVONO A LUI. FU LA MENTE CREATRICE DELL'AREONAUTICA IN EGEO.NEL 1952, PASSATO ALLA RISERVA, FU NOMINATO DIRETTORE DELL'AVIAZIONE CIVILE.  (NATO A POZZOMAGGIORE (SS) NEL 1891 - MORTO NEL 1966);
092009_001399;VIA DARIO ALFANI;VIA SEGNI;84;19/02/2004;G.C.;PIONERE DEI TRAPIANTI D'ORGANO IN SARDEGNA, HA INSEGNATO ALL'UNIVERSITÀ LA SAPIENZA. MOLTI ALL'OSPEDALE BROTZU DI CAGLIARI LO RICORDANO PER LA SUA VITALITÀ E  L'ENTUSIAMO NEL PORTARE AVANTI LA SUA MISSIONE DI CHIRURGO.  (NATO NEL 1944 - MORTO A ROMA NEL 1999);
092009_001400;VIA BENIGNO BONU;PIAZZA LAY - VIA DEGLI ASTRI;84;19/02/2004;G.C.;STIMATISSIMO MEDICO CONDOTTO. CAVALIERE DI VITTORIO VENETO, CURA I SUOI ASSISTITI DALLE PEGGIORI EPIDEMIE (MALARIA, SPAGNOLA) PORTATE DALLA GUERRA. (NATO A GERGEI (CA) NEL 1890 - MORTO A CAGLIARI NEL 1974);
092009_001401;VIA DIDACO COSSU;VIA SEGNI - VIA DEGLI ASTRI;84;19/02/2004;G.C.;LAUREATO IN MEDICINA E CHIRURGIA, LIBERO DOCENTE DI RADIOLOGIA MEDICA, CAVALIERE AL MERITO DELLA REPUBBLICA E M,EDAGLIA D'ORO DI BENEMERENZA DELL'O.N.M.I. (OPERA NAZIONALE MATERNITÀ INFANZIA) DELLA CUI FEDERAZIONE PROVINCIALE DI CAGLIARI È STATO COMMISSARIO STRAORDINARIO DAL 1952 AL 1968. MEMBRO DELLA GIUNTA PROVINCIALE AMMINISTRATIVA DAL '45 AL '52, CONSIGLIERE COMUNALE DI CAGLIARI NELLA LISTA DEGLI INDIPENDENTI TRA LA FINE DEGLI ANNI '50 ED I PRIMI ANNI '60; PER DIVERSO TEMPO PRESIDENTE DELL'ASSOCIAZIONE REGIONALE MEDICI OSPEDALIERI SARDEGNA. AUTORTE DI NUMEROSISSIMI STUDI E UN CENTINAIO DI PUBBLICAZIONI SU ARGOMENTI DI RADIOLOGIA MEDICA E DI ANTROPOLOGIA.FONDÒ L'ISTITUTO DI RADIOLOGIA PRESSO L'OSPEDALE CIVILE DI CAGLIARI CHE DIRESSE DAL 1932 AL 1963. SOCIO DELLASIRM (SOCIETÀ ITALIANA DI RADIOLOGIA MEDICA) DAL 1933, FU PER QUATTRO ANNI MEMBRO DEL RELATIVO CONSIGLIO DIRETTIVO. (NATO A ESCOVEDU NEL 1894 - MORTO A CAGLIARI NEL 1982);
092009_001402;VIA SORELLE DEGLI AGOSTINI;VIA SANNA SALARIS - VIA DEGLI ASTRI;84;19/02/2004;G.C.;CLELIA E LAVINIA. NATE A ALBIGNASEGO (PADOVA) LA PRIMA NEL 1908, LA SECONDA NEL 1910 OPERARONO, IN QUALITÀ DI OSTETRICHE, E FURONO AMATISSIME E STIMATISSIME DA DIVERSE GENERAZIONI DI PIRRESI ;
092009_001403;VIA ANGELO GARAU;VIA SEGNI - PIAZZA LAY;84;19/02/2004;G.C.;DOCENTE DI PATOLOGIA CHIRURGICA DELL'UNIVERSITÀ DI CAGLIARI, POI  PRIMARIO CHIRURGO DELL'OSPEDALE CIVILE DI CAGLIARI, DAL 1922 AL 1945, PRESTÒ LA SUA PRIMA OPERA  DURANTE LA GUERRA DEL 1915/18 E FU DECORATO CON CROCE AL MERITO DI GUERRA. FACENTE PARTE DELLA DIREZIONE DI SANITÀ DELLA 3° ARMATA, VENNE POI NOMINATO MEMBRO DELLA PRIMA COMMISSIONE SANITARIA CENTRALE DI ROMA E, NEL 1919, DIRETTORE DELL'OSPEDALE MILITARE DI RICERCA DI SASSARI. ANNI DOPO RICEVETTE LA NOMINA DI CAVALIERE UFFICIALE DELLA CORONA D'ITALIA.TERMINATA LA GUERRA, IL PROFESSOR G. DETTE ALLE STAMPE IMPORTANTI SUOI STUDI D'ALTA CHIRURGIA CHE INCONTRARONO IL PLAUSO E L'AMMIRAZIONE DEI COMPETENTI. MA LA SUA GRANDE UMANITÀ E CAPACITÀ SI MANIFESTÒ ULTERIORMENTE DURANTE GLI ANNI DELL'ULTIMA GUERRA DURANTE I PAUROSI BOMBARDAMENTI DEL 1943 CHE CAUSARONO A CAGLIARI CENTINAIA DI MORTI E FERITI.  (NATO A CAGLIARI NEL 1877 - MORTO NEL 1954);
092009_001404;VIA GIUSEPPE MACCIOTTA;VIA COSSU - PIAZZA LAY;84;19/02/2004;G.C.;LA FACOLTÀ MEDICA DELL'UNIVERSITÀ DI CAGLIARI GLI AFFIDA L'INCARICO DI INSEGNAMENTO DELLA CLINICA PEDIATRICA E LA DIREZIONE DEL RELATIVO ISTITUTO NELL'ANNO ACCADEMICO 1929/1930. DIVIENE IN SEGUITO TITOLARE DELLA STESSA CATTEDRA COME PROFESSORE STRAORDINARIO NEL 1931 E, COME ORDINARIO, DAL 1934 AL 1963, ANNO DEL SUO COLLOCAMENTO FUORI RUOLO; DA TALE DATA FINO AL 1968 (ANNO DEL SUO PENSIONAMENTO) CONTINUA A DIRIGERE IL CENTRO POLIOMELITICI DA LUI REALIZZATO COSÌ COME L'ATTUALE EDIFICIO DELLA CLINICA PEDIATRICA A LUI INTITOLATA. (NATO A MESSINA NEL 1893 - MORTO A CAGLIARI NEL 1985);
092009_001405;VIA SERGIO MONTALDO;VIA DEGLI ASTRI - PIAZZA LAY;84;19/02/2004;G.C.;IL PROF. M. È STATO PER DIVERSI ANNI UN'AUTORITÀ IN FATTO DI MEDICINA LEGALE, NONCHÈ DIRETTORE DELL'ISTITUTO DI MEDICINA LEGALE PRESSO LA FACOLTÀ DI MEDICINA E CHIRURGIA DELL'UNIVERSITÀ DI CAGLIARI. A LUI, NEL GIUGNO 1998, SU INIZIATIVA DELL'AMICO FRATERNO E COLLEGA PROF. SANTA CRUZ, È STATO DEDICATO IL LABORATORIO DI BIOLOGIA MOLECOLARE CHE RISULTA ESSERE IL PRIMO LABORATORIO IN SARDEGNA SPECIALIZZATO IN INDAGINI DI BIOLOGIA MOLECOLARE FORENSE.  (NATO A CAGLIARI NEL 1928 - MORTO NEL 1998);
092009_001406;VIA GIUSEPPE SANNA SALARIS;PIAZZA LAY - VIA DEGLI ASTRI;84;19/02/2004;G.C.;LAUREATOSI CON LODE IN MEDICINA ALLA REGIA UNIVERSITÀ DI NAPOLI NEL 1886, SPECIALIZZATO IN  PSICHIATRIA DOPO AVER FREQUENTATO DIVERSI CORSI DI PERFEZIONAMENTO IN VARIE CITTÀ ITALIANE ED EUROPEE, VIENE NOMINATO DIRETTORE DEL MANICOMIO PROVINCIALE DI CAGLIARI NEL 1890. FU ISPIRATORE E IDEATORE DI UNA NUOVA CONCEZIONE DELLE CURE DELLE MALATTIE MENTALI CHE SI ESPRESSE NEL PROGRAMMA DI UN PROGETTO DI MANICOMIO DA COSTRUIRSI A MONTE CLARO, CAGLIARI. LA STRUTTURA, NELL'OTTICA DELLO SCIENZIATO, DOVEVA CONIUGARE LA FUNZIONALITÀ  CON LA SALUBRITÀ DELL'AMBIENTE, UN LUOGO DOVE I PAZIENTI POTEVANO TROVARTE UN RIFUGIO SIA PER IL CORPO CHE PER LA MENTE.  IL S. È STATO UN MEDICO ILLUMINATO, PROPUGNATORE DI UNA MODERNA TECNICA MANICOMIALE, DI CULTURA EUROPEA ED È CONSIDERATO, INTELLETTUALMENTE E UMANAMENTE PARLANDO, UNA DELLE PERSONE PIÙ PROFONDE DELLA SUA EPOCA. LA CREAZIONE DA LUI VOLUTA, E REALIZZATA NEI PRIMI ANNI DEL NOVECENTO, FU CONSIDERATA ALL'AVANGUARDIA ANCHE IN CAMPO NAZIONALE. (NATO AD ALGHERO NEL 1860 - MORTO A CAGLIARI NEL 1928);
092009_001407;VIA RICCARDO SIMONETTI;VIA DEL TIMO - VIA DELLE AGAVI;84;19/02/2004;G.C.;ANNOVERATO DAGLI STUDIOSI TRA GLI ARCHITETTI ELEGANTI CHE OPERARONO A CAGLIARI NELLA PRIMA METÀ DEL '900. DI LUI RICORDIAMO LE SEGUENTI OPERE: PALAZZO ROCCA VIA MADDALENA - 1935); CHIESA DI S. EULALIA (FACCIATA ESTERNA E INTERVENTO ALL'INTERNO DAL 1908 AL 1919); SEDE DELLA SOCIETÀ DEGLI OPERAI (VIA XX SETTEMBRE  - 1910), SECONDO PALAZZO VALDES (1926), PALAZZO DELLA CAMERA DI COMMERCIO (1923/1928). FRA LE OPERE ESEGUITE NELLA FRAZIONE DI PIRRI CITIAMO L'EDIFICIO DELLE SCUOLE ELEMENTARI DI VIA RIVA VILLASANTA (PROGETTATO NEL 1930 INSIEME AD ENRICO PISANO), LA CASA MUNICIPALE DI PIRRI(1912) E IL CIMITERO  (NATO A CAGLIARI);
092009_001408;VIA FERRUCCIO BARRECA;VIA SEGNI;84;19/02/2004;G.C.;ISPETTORE PER LA SOPRINTENDENZA, POI DIRETTORE DEL MUSEO ARCHEOLOGICO NAZIONALE DI CAGLIARI E SOPRINTENDENTE, COME SUCCESSORE DI GENNARO PESCE. FORMATOSI ALL'UNIVERSITÀ DI ROMA ENTRÒ NELL'AMM. STATALE NEL '46 PRESTANDO SERVIZIO IN SICILIA, ABRUZZO E MARCHE. L'ESPERIENZA SICILIANA MATURÒ NELLA SUA FORMAZIONE L'INTERESSE PER LA CIVILTÀ FENICIO-PUNICA CHE APPROFONDÌ IN SARDEGNA. DAI PRIMI ANNI SESSANTA L'INTERESSE DEL PROF. SABATINO MOSCATI RIGUARDO LA CONOSCENZA DELLA CIVILTÀ FENICIA IN OCCIDENTE, SI REALIZZA FRA L'UNIVERSITÀ DI ROMA E LA SOPRINTENDENZA CAGLIARITANA. DA TALE COLLABORAZIONE SCATURIRANNO LE IMPORTANTI SCOPERTE DI MONTE SIRAI, ANTAS, LE ESPLORAZIONI DEL SULCIS-IGLESIENTE E DELLA COSTA ORIENTALE DELL'ISOLA.NUOVI SCAVI FURONO CONDOTTI A THARROS, S. ANTIOCO, MONTE SIRAI, BITHIA E CON LE UNIVERSITÀ DI ROMA, PISA, SOPRATTUTTO DOPO L'ISTITUZIONE, NEL 1966, DELL'INSEGNAMENTO DI ARCHEOLOGIA FENICIO-PUNICA, PRESSO LA FACOLTÀ DI LETTERE E FILOSOFIA DI CAGLIARI, TENUTO DAL B. FINO ALLA SUA SCOMPARSA.      (NATO A ROMA NEL 1923 - MORTO A CAGLIARI NEL 1986);
092009_001409;VIA FILIPPO NISSARDI;VIA SEGNI - VIA DEGLI ASTRI;84;19/02/2004;G.C.;FIGURA CENTRALE PER LA STORIA DELLA RICERCA ARCHEOLOGICA IN SARDEGNA, FU APPREZZATO ANCHE DA MOMMSEN CHE LO PROPOSE PER LA NOMINA A SOCIO CORRISPONDENTE DELL'IMPERIALE ISTITUTO ARCHEOLOGICO GERMANICO. EBBE DIVERSI INCARICHI NELL'AMMINISTRAZIONE STATALE, CONDUSSE NUMEROSI SCAVI IN AMBITO PREISTORICO, PROTOSTORICO, FENICIO-PUNICO, ROMANO E MEDIOEVALE. RICORDIAMO LA SCOPERTA DELL'ISCRIZIONE DI ASTARTE ERICINA NEL CAPO S. ELIA E DEL BRONZO FIGURATO DEL NURAGHE FLUMENELOGU DI ALGHERO; GLI SCAVI NELLA NECROPOLI DI THARROS E QUELLI EFFETTUATI A NORA.COLLABORÒ CON ETTORE PAIS, REGGENTE DEL MUSEO DI SASSARI E DI QUELLO DI CAGLIARI, AL RIORDINO DELLE COLLEZIONI ED ALLA STESURA DEI REGISTRI D'INVENTARIO IN ENTRAMBI I MUSEI, LAVORO CHE N. PROSEGUÌ PER IL MUSEO DI CAGLIARI CON GIOVANNI PATRONI.    (NATO A CAGLIARI NEL 1852 - MORTO NEL 1922);
092009_001410;VIA GENNARO PESCE;VIA CALA REGINA - VIA DEGLI ASTRI;84;19/02/2004;G.C.;DAL 1949 AL 1967 FU DIRETTORE DELLA SOPRINTENDENZA, IMPRIMENDO UN DECISIVO IMPULSO ALLE RICERCHE IN AMBITO FENICIO, PUNICO, ROMANO-REPUBBLICANO E IMPERIALE A NORA (1952), A THARROS (1956), A BITHIA (1955), A MONTE SIRAI (1963/64/66)E AD ANTAS (1967/68). RISALE AL '62 L'ACCORDO FRA LA SOPRINTENDENZA E L'ISTITUTO DI STUDI DEL VICINO ORIENTE DELL'UNIVERSITÀ DI ROMA A CUI POI SI AFFIANCÒ IL CONSIGLIO NAZIONALE DELLE RICERCHE. OLTRE ALL'IMPEGNO NEL SETTORE FENICIO E PUNICO-ROMANO, DI P. VANNO RICORDATI L'ATTIVAZIONE DELLO SCAVO DEL COMPLESSO NURAGICO DI BARUMINI (1951) CON LA DIREZIONE SCIENTIFICA DI GIOVANNI LILLIU E, INSIEME A QUEST'ULTIMO, L'ALLESTIMENTO DELLA MOSTRA SULLE SCULTURE DELLA SARDEGNA NURAGICA NEL 1949 IN DIVERSE CITTÀ ITALIANE ED EUROPEE. SONO INOLTRE DA RICORDARE, SU INCARICO DI P., LE RICERCHE IN AMBITO PREISTORICO CONDOTTE DA ENRICO ATZENI, NEI COMPLESSI FUNERARI PRENURAGICI DI SERRA IS ARAUS DI S. VERO MILIS E DI VIA BASILICATA A CAGLIARI. (NATO A NAPOLI NEL 1902 - MORTO A CAGLIARI NEL 1984);
092009_001411;VIA ALBERTO BOSCOLO;VIA SEGNI - VIA CALA REGINA;84;19/02/2004;G.C.;DOPO LA LAUREA SI SPECIALIZZA IN STORIA MEDIOEVALE. NEL 1959 OTTIENE LA CATTEDRA PER LA STESSA DISCIPLINA PRESSO L'UNIVERSITÀ DEGLI STUDI DI CAGLIARI. LA SUA INTENSA ATTIVITÀ DI RICERCATORE SI CONCENTRA, CON IMPEGNO E SUCCESSO, IN STUDI APPROFONDITI DEL PERIODO CATALANO-ARAGONESE PER IL QUALE EGLI RIPERCORRE I LEGAMI DELLA SARDEGNA CON LA CATALOGNA. NEL 1970 È ELETTO RETTORE DELL'UNIVERSITÀ DI CAGLIARI RICOPRENDO L'INCARICO SINO AL 1974, ANNO IN CUI SI TRASFERISCE A MILANO E POI ALL'UNIVERSITÀ DI ROMA. NEL 1981 È NOMINATO VICEPRESIDENTE DEL COMITATO PER LE RICERCHE STORICHE PRESSO IL CNR. NEL 1982 È ELETTO NELLA COMMISSIONE ITALIANA PRESSO L'UNESCO. NUMEROSI I RICONOSCIMENTI ATTRIBUITIGLI PER I SUOI STUDI SIA IN AMBITO NAZIONALE CHE INTERNAZIONALE. (NATO A CAGLIARI NEL 1920 - MORTO A ROMA NEL 1987);
092009_001412;VIA SERAFINO ESQUIRRO;VIA CALA DI VOLPE;84;19/02/2004;G.C.;TEOLOGO E PREDICATORE DELL'ORDINE DEI PADRI CAPPUCCINI DI S. FRANCESCO, È CONOSCIUTO PER AVER PUBBLICATO, COME DIRETTO COLLABORATORE DELL'ARCIVESCOVO FRANCESCO DESQUIVEL, NEL 1624, IL TESTO DELL'EPIGRAFE MARMOREA, CONTENENTE IL NOME DI GRECA, PROVENIENTE DALLA CHIESA DEL MONASTERO DI S. GRECA DI DECIMOMANNU. IN TALE TESTO IL CAPPUCCINO ANNUNCIÒ CHE PRESTO SAREBBERO STATI EFFETTUATI GLI SCAVI ALLA RICERCA DELLE RELATIVE RELIQUIE, I LAVORI INVECE INIZIARONO SOLO NEL 1633.   (NATO A CAGLIARI NEL 1619 - MORTO NEL 1681);
